(> |[Exists at [Exists link [ForAll link [ForAll [Inverse at] spanner]]]]| |[Exists carrying useable]|),(> |[Not loose]| |[And [ForAll carrying tightened] [ForAll at [Exists [Inverse at] man]]]|),(> |useable| |[Exists link [Exists [Transitive link] [Exists link [Exists [Inverse at] loose]]]]|),(> |[And useable [ForAll at [ForAll link [Exists [Inverse at] spanner]]]]| |nut|),(> |[And [Not [Or man tightened]] [RoleValue [Inverse at] [Inverse carrying]]]| |[RoleValue link carrying]|),(> |[Exists at [ForAll [Inverse link] [Exists [Inverse at] All]]]| |loose|),(> |[Exists at [Exists link [ForAll [Inverse at] man]]]| |[Exists carrying locatable]|),(> |[Exists at [And [ForAll [Inverse at] [Not tightened]] [ForAll link [RoleValue link [Transitive link]]]]]| 0),(> |[Or loose [Exists at [Exists [Transitive link] [Exists [Inverse at] man]]]]| |spanner|),(== |nut| |[And [ForAll [Inverse at] [Not spanner]] [ForAll at [ForAll [Inverse at] man]]]|),(> |loose| |[Or [Or man tightened] [Exists [Inverse at] [Or spanner tightened]]]|),(> |useable| |[Not [ForAll link [ForAll link [Exists [Inverse at] man]]]]|),(== |spanner| |[And locatable [ForAll at [ForAll link [Exists link location]]]]|),(> |loose| |[Or tightened [Not [ForAll link [ForAll link [Exists [Inverse at] man]]]]]|),(== |[And [Exists [Inverse at] spanner] [Exists link [ForAll link [Exists link location]]]]| 0),(== |[Or spanner location]| |[Exists at [ForAll link [ForAll link [ForAll [Inverse at] nut]]]]|),(== |man| |[And [Or spanner tightened] [Exists at [ForAll link [ForAll [Inverse at] spanner]]]]|),(== |[Or loose [Exists carrying useable]]| |[Or tightened [Exists at [ForAll [Inverse at] spanner]]]|),(> |useable| |[Exists at [ForAll link [Exists [Transitive link] [Exists [Inverse at] [Not nut]]]]]|),(> |[ForAll link [Exists [Inverse at] [Not nut]]]| |[ForAll at [RoleValue link [Transitive link]]]|),(== |[Or loose [Exists carrying locatable]]| |[Exists link [Exists [Inverse at] [Not spanner]]]|),(== |spanner| |[Not [Or [RoleValue [Inverse at] carrying] [Exists link [Exists [Inverse at] spanner]]]]|),(> |[Exists at [Exists link [Exists link [Exists link [Exists [Inverse at] tightened]]]]]| 0),(> |locatable| |[And [Or nut [ForAll at man@Goal]] [ForAll [Inverse at] [Or man loose]]]|),(== |[Exists [Inverse at] All]| |[Exists [Transitive link] [ForAll [Inverse at] man]]|),(> |[Exists at [Exists link [Exists link [ForAll [Inverse at] [Or tightened [Exists carrying useable]]]]]]| 0),(== |[Exists at All]| |[And [RoleValue link carrying] [ForAll at [RoleValue link [Transitive link]]]]|),(== |[RoleValue [Inverse at] at]| |[Exists at [ForAll [Inverse link] [Exists [Inverse link] All]]]|),(> |[Exists at [ForAll link [Exists link location]]]| |[ForAll at [Exists [Inverse at] man]]|),(> |locatable| |[Or loose [And [RoleValue [Inverse at] at] [ForAll link [Exists link location]]]]|),(== |spanner| |[Or nut [Exists [Inverse carrying] [Exists at [Exists [Inverse at] spanner]]]]|),(> |location| |[Or [Exists [Inverse at] All] [Exists at [Exists [Inverse at] man]]]|),(== |nut| |[Or [Exists [Inverse at] man] [Exists link [ForAll [Inverse at] [Not spanner]]]]|),(> |[Not [Or loose useable]]| |[ForAll link [Exists link [ForAll [Inverse at] nut]]]|),(> |[Not nut]| |[ForAll [Inverse at] [And man [Exists at [RoleValue link [Transitive link]]]]]|),(== |[ForAll [Inverse at] man]| |[And [Not useable] [ForAll link [ForAll [Inverse at] spanner]]]|),(> |useable| |[And spanner [ForAll at [Exists [Transitive [Inverse link]] [Exists [Inverse at] All]]]]|),(> |[Or useable [Exists link [ForAll [Inverse at] man]]]| |[Or loose [RoleValue link at]]|),(> |[Exists at [ForAll [Inverse at] nut]]| |[Exists [Inverse at] spanner]|),(> |locatable| |[ForAll at [Exists link [Exists [Inverse at] tightened]]]|),(== |[ForAll link [Exists [Inverse at] man]]| |[Not [Exists at [Exists [Inverse at] spanner]]]|),(> |[Or nut [Exists carrying locatable]]| |[And [RoleValue link carrying] [Not [Or loose useable]]]|),(== |spanner| |[Or [Exists [Inverse at] All] [Exists [Inverse link] [Exists [Inverse at] spanner]]]|),(> |[And locatable [ForAll at [Exists link [And [ForAll link nut] [ForAll [Inverse at] nut]]]]]| 0),(> |nut| |[Exists [Transitive link] [Exists [Inverse at] [Or spanner [Exists carrying locatable]]]]|),(== |[Exists at [Exists link [Exists link [ForAll link [Exists [Inverse at] [Exists carrying useable]]]]]]| 0),(> |[Or loose useable]| |[And [ForAll link nut] [ForAll [Inverse carrying] [ForAll carrying useable]]]|),(== |[Exists link [Exists [Inverse at] All]]| |[Not [ForAll at [Exists [Inverse at] tightened]]]|),(> |[And [Or useable [Not spanner]] [ForAll at [ForAll [Inverse at] man]]]| |locatable|),(== |location| |[Or loose [Or [Exists [Inverse at] man] [Exists link [ForAll link nut]]]]|),(== |nut| |[And [Or man spanner] [ForAll at [ForAll link [ForAll [Inverse at] man]]]]|),dead-end,source
14,13,13,12,14,11,12,15,13,14,12,11,11,13,13,14,14,14,14,14,13,14,13,14,12,15,14,14,14,14,13,13,14,13,14,14,14,14,11,10,14,14,14,15,13,15,14,14,13,14,14,-1,-1
1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,p11.out.txt
1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,p15.out.txt
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,p17.out.txt
0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,p18.out.txt
1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,p15.out.txt
1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,p12.out.txt
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,p9.out.txt
1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,p17.out.txt
0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,p14.out.txt
1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,p10.out.txt
1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,p15.out.txt
0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,p10.out.txt
1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,p15.out.txt
0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,p18.out.txt
1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,p14.out.txt
1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,p10.out.txt
1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,p10.out.txt
1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,p15.out.txt
1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,p14.out.txt
0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,p17.out.txt
1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,p14.out.txt
